date,relative_price_change_CTtoBS
2020-01-02,1.0
2020-01-03,0.9945489155420508
2020-01-06,0.9994155932355316
2020-01-07,1.0041523728722825
2020-01-08,1.002921844942484
2020-01-09,1.0043084364164212
2020-01-10,1.0028803685478505
2020-01-13,1.0062599719938945
2020-01-14,1.0064811830868616
2020-01-15,0.9951839033854433
2020-01-16,0.9932843453292022
2020-01-17,0.993924483421711
2020-01-21,0.9900571234752108
2020-01-22,0.9874469721344914
2020-01-23,0.9919894860754203
2020-01-24,0.9932785689141962
2020-01-27,0.983195187039159
2020-01-28,0.9894590599108484
2020-01-29,0.9904892367605248
2020-01-30,0.9846353621359502
2020-01-31,0.9870769409734904
2020-02-03,0.9875061206057814
2020-02-04,0.989012531712807
2020-02-05,0.9930098288109342
2020-02-06,0.9994001583400473
2020-02-07,0.9987032219731745
2020-02-10,0.9999849009920564
2020-02-11,1.0056496838835112
2020-02-12,1.009882492549326
2020-02-13,1.0031441447491567
2020-02-14,0.9961424135829395
2020-02-18,0.9913034550529476
2020-02-19,0.9897917728158463
2020-02-20,0.9869958990247377
2020-02-21,0.9786349613085372
2020-02-24,0.9699563721901073
2020-02-25,0.9866356493264138
2020-02-26,0.9984922220547795
2020-02-27,0.9920224138845174
2020-02-28,1.0006950740143048
2020-03-02,0.9845201267691089
2020-03-03,0.9799311884113548
2020-03-04,0.9797945980598348
2020-03-05,0.9819641997011931
2020-03-06,0.979909350400083
2020-03-09,0.9833108913639835
2020-03-10,0.9808779136138376
2020-03-11,0.9796181770368023
2020-03-12,0.9758992608994129
2020-03-13,0.9846721517277253
2020-03-16,0.9797993309646587
2020-03-17,0.9991552775598204
2020-03-18,1.0217267844760958
2020-03-19,1.0277440854126196
2020-03-20,1.039100490260379
2020-03-23,1.086666445682171
2020-03-24,1.051571600751594
2020-03-25,1.0102475009120448
2020-03-26,1.0167924135279638
2020-03-27,1.0141464019771003
2020-03-30,1.021277696427643
2020-03-31,1.0372282172134137
2020-04-01,1.04052476189107
2020-04-02,1.038464299388596
2020-04-03,1.0492187201352632
2020-04-06,1.039446832964681
2020-04-07,1.0394928715258607
2020-04-08,1.0308616415643244
2020-04-09,1.0177629016666145
2020-04-13,1.0479789303944815
2020-04-14,1.0618267268044417
2020-04-15,1.0840574609508535
2020-04-16,1.105508018926463
2020-04-17,1.0756375938100549
2020-04-20,1.0884468679542414
2020-04-21,1.0783664636215693
2020-04-22,1.0841790679682983
2020-04-23,1.0820694282356704
2020-04-24,1.0873390119295359
2020-04-27,1.0654574432245723
2020-04-28,1.0430137739246985
2020-04-29,1.0420132197169316
2020-04-30,1.0570289154149093
2020-05-01,1.053123154865263
2020-05-04,1.0627301301107643
2020-05-05,1.06151793194934
2020-05-06,1.0689654501075923
2020-05-07,1.0667227996592907
2020-05-08,1.0742258841542742
2020-05-11,1.089261621730643
2020-05-12,1.0921351264059227
2020-05-13,1.095519084922992
2020-05-14,1.0915149315084351
2020-05-15,1.0847720358427952
2020-05-18,1.067455174915013
2020-05-19,1.069185503318087
2020-05-20,1.0723433592158629
2020-05-21,1.075415404739871
2020-05-22,1.0785776615016545
2020-05-26,1.0584378880506966
2020-05-27,1.058407298665674
2020-05-28,1.0515743832747715
2020-05-29,1.059703590199784
2020-06-01,1.058251420658663
2020-06-02,1.0546229410257417
2020-06-03,1.0492549673814082
2020-06-04,1.0535814750662582
2020-06-05,1.039999515613623
2020-06-08,1.0438536929050415
2020-06-09,1.0585307792610954
2020-06-10,1.0685127917891528
2020-06-11,1.0765690451795056
2020-06-12,1.0679986287079692
2020-06-15,1.0702918806781545
2020-06-16,1.0728158547849835
2020-06-17,1.0717609592628499
2020-06-18,1.064282755253569
2020-06-19,1.0741463636915198
2020-06-22,1.0771667888999057
2020-06-23,1.0731414776815693
2020-06-24,1.0877179565333532
2020-06-25,1.0767251476031472
2020-06-26,1.0646742169605463
2020-06-29,1.0676102573315736
2020-06-30,1.0735334531427423
2020-07-01,1.0703783970557226
2020-07-02,1.0662703543977161
2020-07-06,1.0785194816270216
2020-07-07,1.0817254720336034
2020-07-08,1.0865187231737525
2020-07-09,1.0994058751477185
2020-07-10,1.0951120958922334
2020-07-13,1.0941466470560481
2020-07-14,1.088775064532705
2020-07-15,1.0723751367510879
2020-07-16,1.0754113615366747
2020-07-17,1.068608767395767
2020-07-20,1.0801128113615939
2020-07-21,1.075361492823666
2020-07-22,1.0677146320460957
2020-07-23,1.0513040925344102
2020-07-24,1.0549377403291196
2020-07-27,1.0661749198008892
2020-07-28,1.0568835277293886
2020-07-29,1.0645710330196874
2020-07-30,1.0762449167195127
2020-07-31,1.0919395418974076
2020-08-03,1.0978036181615132
2020-08-04,1.0932610624535282
2020-08-05,1.079730743387406
2020-08-06,1.0550554123689808
2020-08-07,1.0539580907795896
2020-08-10,1.0620031335159617
2020-08-11,1.0411610768267798
2020-08-12,1.0591240697950328
2020-08-13,1.0613939371810888
2020-08-14,1.0659556914462371
2020-08-17,1.065826136482562
2020-08-18,1.0715427497417596
2020-08-19,1.0660832506138966
2020-08-20,1.072116099406937
2020-08-21,1.074747593235477
2020-08-24,1.0714519367075437
2020-08-25,1.0758071799871376
2020-08-26,1.0954673374337611
2020-08-27,1.0848961649382731
2020-08-28,1.0779349934097024
2020-08-31,1.0908507215876169
2020-09-01,1.097453168360142
2020-09-02,1.1005557612716468
2020-09-03,1.0865515986577616
2020-09-04,1.0888669401758353
2020-09-08,1.0697499010589981
2020-09-09,1.079170578530776
2020-09-10,1.0731299478171128
2020-09-11,1.0687213219117562
2020-09-14,1.0612239131499743
2020-09-15,1.0633751808904075
2020-09-16,1.0539280238088717
2020-09-17,1.0452402709867572
2020-09-18,1.0410168016856847
2020-09-21,1.0633454229926236
2020-09-22,1.0660550565112985
2020-09-23,1.0619442198501037
2020-09-24,1.0725301295457652
2020-09-25,1.0801768161997736
2020-09-28,1.080451924856699
2020-09-29,1.0845494742749737
2020-09-30,1.0764823258501819
2020-10-01,1.076748827057468
2020-10-02,1.0606113135839152
2020-10-05,1.0730646709119718
2020-10-06,1.0685957996202953
2020-10-07,1.068149383089029
2020-10-08,1.067842748462224
2020-10-09,1.0624326997526798
2020-10-12,1.081273262141948
2020-10-13,1.087119439625378
2020-10-14,1.0891794405471615
2020-10-15,1.0910132925344564
2020-10-16,1.0894599565915952
2020-10-19,1.0966521427354585
2020-10-20,1.0952496138075434
2020-10-21,1.1117589966087145
2020-10-22,1.1138565856874176
2020-10-23,1.1173115736663264
2020-10-26,1.1191908782253124
2020-10-27,1.1346652301569438
2020-10-28,1.128022243202238
2020-10-29,1.1420175772619534
2020-10-30,1.1355493300365667
2020-11-02,1.1257290248185374
2020-11-03,1.1170845409334702
2020-11-04,1.131401448813701
2020-11-05,1.136850011789037
2020-11-06,1.1374715136280837
2020-11-09,1.0773225602834056
2020-11-10,1.0663268773349905
2020-11-11,1.0855090536921672
2020-11-12,1.091792289464074
2020-11-13,1.0887383438782134
2020-11-16,1.0876011508057954
2020-11-17,1.0849368579552792
2020-11-18,1.087423838268694
2020-11-19,1.0909893930315846
2020-11-20,1.0970619905337133
2020-11-23,1.0833431875059167
2020-11-24,1.076998036941504
2020-11-25,1.073702731222909
2020-11-27,1.0841049381037897
2020-11-30,1.084246886798065
2020-12-01,1.0950608696726443
2020-12-02,1.1023121183489932
2020-12-03,1.1066107472909101
2020-12-04,1.1002081820641805
2020-12-07,1.100238598054577
2020-12-08,1.1044117571678769
2020-12-09,1.1005618265948187
2020-12-10,1.1161693880020513
2020-12-11,1.1163766656113479
2020-12-14,1.116534529375294
2020-12-15,1.1222962324587065
2020-12-16,1.1320024149853258
2020-12-17,1.1186659404108439
2020-12-18,1.1159834698454798
2020-12-21,1.1292081444043212
2020-12-22,1.144344812749567
2020-12-23,1.1418271147358994
2020-12-24,1.1346071269535105
2020-12-28,1.1396222663814766
2020-12-29,1.1343739413168832
2020-12-30,1.1235412718003035
2020-12-31,1.1216941716132527
2021-01-04,1.1238522499629093
2021-01-05,1.1342839057335365
2021-01-06,1.1144641258043846
2021-01-07,1.1338447720827647
2021-01-08,1.1317535731011445
2021-01-11,1.1351457748124218
2021-01-12,1.1401427512149989
2021-01-13,1.1458669257161889
2021-01-14,1.1646869591865912
2021-01-15,1.1606827907393782
2021-01-19,1.1720599720465645
2021-01-20,1.1739211454365766
2021-01-21,1.184083113850906
2021-01-22,1.181217240106509
2021-01-25,1.1851337506989648
2021-01-26,1.1806629112503308
2021-01-27,1.1654576845781506
2021-01-28,1.1780897122096854
2021-01-29,1.1747338715505629
2021-02-01,1.185870475446334
2021-02-02,1.1871861431983664
2021-02-03,1.1987898323810138
2021-02-04,1.1925570997716315
2021-02-05,1.1944771686974203
2021-02-08,1.1993502519717547
2021-02-09,1.1935861015013016
2021-02-10,1.1990215797409864
2021-02-11,1.2015822370394316
2021-02-12,1.2028705382049956
2021-02-16,1.207293199443534
2021-02-17,1.2005322170056334
2021-02-18,1.1961509145192217
2021-02-19,1.197788756669625
2021-02-22,1.1717995751278212
2021-02-23,1.1623131690606416
2021-02-24,1.151443802297762
2021-02-25,1.1395809631238583
2021-02-26,1.1499817650517103
2021-03-01,1.153094906031431
2021-03-02,1.126225708685691
2021-03-03,1.1228461861081362
2021-03-04,1.1261388660532832
2021-03-05,1.1279854979399502
2021-03-08,1.0843799373216547
2021-03-09,1.1074398210763834
2021-03-10,1.0945788339410407
2021-03-11,1.1073225877852164
2021-03-12,1.0979153436250888
2021-03-15,1.1032571176940116
2021-03-16,1.1130995724123984
2021-03-17,1.119013317539111
2021-03-18,1.1042282688813705
2021-03-19,1.130050266965779
2021-03-22,1.14590814913812
2021-03-23,1.1500209644780417
2021-03-24,1.133540689105504
2021-03-25,1.1292887127133908
2021-03-26,1.1388673675126348
2021-03-29,1.1451891133397396
2021-03-30,1.1452294990506187
2021-03-31,1.1628282061501196
2021-04-01,1.171198020345928
2021-04-05,1.184625005631248
2021-04-06,1.1807035705358073
2021-04-07,1.1885257822069428
2021-04-08,1.1936596754213835
2021-04-09,1.1935587037659126
2021-04-12,1.1897407089590621
2021-04-13,1.1983444972008648
2021-04-14,1.1858109991766337
2021-04-15,1.1896891581578746
2021-04-16,1.1875267047623064
2021-04-19,1.1824884705379206
2021-04-20,1.1855149319119511
